@relation TITANIC

@attribute AGE numeric
@attribute CLASSID string
@attribute Description string
@attribute FARE numeric
@attribute GENDER string
@attribute Name string
@attribute SURVIVED numeric
@attribute TICKET string

@data
30,2,'no description',13,female,'no name',1,250648
25,3,'no description',7.225,male,'no name',0,2672
17,3,'no description',8.6625,male,'no name',0,315090
65,1,'no description',26.55,male,'no name',0,13509
64,1,'no description',263,male,'no name',0,19950
34,3,'no description',14.4,male,'no name',0,347080
24,1,'no description',263,female,'no name',1,19950
26,2,'no description',13,male,'no name',0,244368
16,3,'no description',9.2167,male,'no name',0,7534
24,3,'no description',8.05,male,'no name',0,343275
14,1,'no description',120,female,'no name',1,113760
39,1,'no description',110.8833,female,'no name',1,17421
47,1,'no description',52.5542,female,'no name',1,11751
32,2,'no description',26,male,'no name',1,2908
17,3,'no description',7.125,male,'no name',0,'STON/O 2. 3101274'
38,3,'no description',7.775,female,'no name',0,347091
3,3,'no description',31.3875,male,'no name',1,347077
19,3,'no description',10.1708,male,'no name',0,349228
61,2,'no description',12.35,male,'no name',0,235509
5,2,'no description',27.75,female,'no name',1,'C.A. 34651'
27,1,'no description',247.5208,female,'no name',1,'PC 17558'
45,1,'no description',83.475,male,'no name',0,36973
12,2,'no description',15.75,female,'no name',1,'C.A. 33595'
50,1,'no description',211.5,female,'no name',1,113503
28,1,'no description',82.1708,male,'no name',0,'PC 17604'
33,1,'no description',90,female,'no name',1,19928
26,3,'no description',7.8792,male,'no name',0,330910
31,3,'no description',7.925,male,'no name',1,'STON/O 2. 3101288'
25,1,'no description',26,male,'no name',0,13905
27,3,'no description',7.8958,male,'no name',0,349219
32.5,2,'no description',13,female,'no name',1,27267
58,1,'no description',26.55,female,'no name',1,113783
19,3,'no description',7.8958,male,'no name',0,349231
18,1,'no description',108.9,male,'no name',0,'PC 17758'
50,1,'no description',28.7125,female,'no name',0,'PC 17595'
22,3,'no description',7.8958,male,'no name',0,349206
23,2,'no description',10.5,male,'no name',0,28666
25,3,'no description',7.7417,male,'no name',0,36864
9,3,'no description',3.1708,male,'no name',1,'C 17368'
36,1,'no description',40.125,male,'no name',0,13049
8,2,'no description',26.25,female,'no name',1,'C.A. 31921'
22,3,'no description',8.05,male,'no name',0,324669
35,3,'no description',7.8958,male,'no name',0,349213
62,1,'no description',26.55,male,'no name',0,113514
38,1,'no description',90,male,'no name',1,19943
18.5,2,'no description',13,male,'no name',0,248734
25,3,'no description',9.5,male,'no name',1,345768
25,3,'no description',7.25,male,'no name',0,374887
30,2,'no description',24,male,'no name',0,'P/PP 3381'
40,3,'no description',9.475,female,'no name',0,7546
40,2,'no description',13,male,'no name',0,28221
18,3,'no description',20.2125,male,'no name',0,370129
35,2,'no description',26,male,'no name',0,239865
18,2,'no description',73.5,male,'no name',0,'S.O.C. 14879'
35,1,'no description',57.75,female,'no name',1,13236
41,1,'no description',134.5,female,'no name',1,16966
43,3,'no description',7.8958,male,'no name',0,349226
10,3,'no description',29.125,male,'no name',0,382652
26,3,'no description',7.8542,female,'no name',1,347470
24,3,'no description',7.55,male,'no name',1,'S.O./P.P. 752'
40,1,'no description',153.4625,female,'no name',1,'PC 17582'
19,1,'no description',53.1,male,'no name',0,113773
23,2,'no description',13,male,'no name',0,28425
23,1,'no description',263,female,'no name',1,19950
29,2,'no description',26,female,'no name',1,26707
